Account_ID,Age,Marital_Status,Dependents,Client_Industry,Residency_Zip,State,Account_Status,Annual_Income,Liquidity_Needs,Investment_Experience,Risk_Tolerance,Investment_Goals,Time_Horizon,Exclusions,SRI_Preferences,Tax_Status
271d6886cd56,66,Single,2,Oil & Gas Refining & Marketing,23222,VA,True,1163068,Short-Term (3-12 months),Experienced,Moderate,Retirement,Short-term,Exclude Company: EOG Resources (EOG),Prefer ESG: General Motors (GM),Tax-deferred
db91b47d564b,72,Single,0,Health Care Technology,67204,KS,True,1724327,Long-Term (5+ years),Moderate,Moderate,Education,Medium-term,None,Prefer ESG in: Insurance Brokers,Tax-deferred
d281866ee005,41,Single,2,Diversified Banks,41001,KY,True,803456,Medium-Term (1-5 years),Professional,Aggressive,Income,Medium-term,Exclude Industry: Footwear,No specific preference,Taxable
bdf0fd2e0ea7,46,Married,3,Tobacco,25305,WV,True,186604,Immediate (0-3 months),None,Moderate,Education,Short-term,Exclude Company: Molina Healthcare (MOH),Prefer ESG in: Real Estate,Tax-deferred
e7fdf69fc493,35,Married,0,Agricultural Products & Services,58104,ND,True,508315,Immediate (0-3 months),Experienced,Moderate,Income,Short-term,Exclude Sector: Consumer Staples,Prefer ESG: Duke Energy (DUK),Tax-deferred
d9cd57c64fc7,75,Single,3,Technology Distributors,83701,ID,True,292873,Medium-Term (1-5 years),Experienced,Moderate,Income,Long-term,Exclude Company: Verisign (VRSN),Prefer ESG: Everest Group (EG),Taxable
31fc0b9c78e9,42,Single,2,Data Processing & Outsourced Services,36101,AL,False,1816731,Long-Term (5+ years),Professional,Conservative,Education,Short-term,None,Prefer ESG in: Information Technology,Taxable
1d40eb1dfb21,68,Married,0,Construction Machinery & Heavy Transportation Equipment,73102,OK,True,1815429,Medium-Term (1-5 years),Limited,Conservative,Philanthropy,Long-term,Exclude Company: Avery Dennison (AVY) | Tesla  Inc. (TSLA),Prefer ESG: Agilent Technologies (A),Tax-deferred
f949b1d78a74,46,Married,0,Automotive Retail,15201,PA,True,1336207,Short-Term (3-12 months),None,Conservative,Income,Medium-term,Exclude Company: Pinnacle West Capital (PNW) | ExxonMobil (XOM) | Exelon (EXC),Prefer ESG in: Automobile Manufacturers,Taxable
baa2dda73ab9,31,Married,4,Leisure Products,03110,NH,True,282063,Immediate (0-3 months),Professional,Conservative,Income,Medium-term,Exclude Sector: Industrials,No specific preference,Tax-deferred
95a7c88d5900,41,Single,1,Aerospace & Defense,19103,PA,False,487310,Immediate (0-3 months),Experienced,Conservative,Retirement,Long-term,None,Prefer ESG in: Materials,Tax-deferred
30c101b466dd,54,Married,3,Home Furnishings,85002,AZ,True,159873,Long-Term (5+ years),Professional,Moderate,Retirement,Short-term,None,No specific preference,Tax-deferred
f136e5efef9c,50,Married,4,Agricultural Products & Services,58101,ND,True,249123,Long-Term (5+ years),Professional,Conservative,Philanthropy,Medium-term,Exclude Sector: Financials,No specific preference,Taxable
0f9db38cb7e4,74,Married,1,Homebuilding,54601,WI,True,665012,Medium-Term (1-5 years),Moderate,Conservative,Philanthropy,Short-term,Exclude Sector: Health Care,No specific preference,Tax-deferred
4c300de7a542,40,Married,0,Packaged Foods & Meats,21204,MD,True,135048,Immediate (0-3 months),Moderate,Moderate,Philanthropy,Long-term,Exclude Sector: Consumer Staples,Prefer ESG in: Information Technology,Taxable
ff2ee65bd10d,37,Single,0,IT Consulting & Other Services,98105,WA,False,127856,Short-Term (3-12 months),Sophisticated,Aggressive,Philanthropy,Long-term,Exclude Company: General Mills (GIS) | Ross Stores (ROST),Prefer ESG: Trane Technologies (TT),Tax-deferred
70541b1cdf15,30,Married,2,Homebuilding,96807,HI,False,283957,Long-Term (5+ years),Professional,Conservative,Education,Medium-term,Exclude Sector: Financials,No specific preference,Tax-deferred
e5a52f948279,60,Married,0,Human Resource & Employment Services,02902,RI,True,116293,Medium-Term (1-5 years),Professional,Conservative,Retirement,Short-term,Exclude Industry: Semiconductors,Prefer ESG: Estae Lauder Companies (The) (EL),Taxable
6bbdd8091778,64,Single,0,Consumer Electronics,03101,NH,True,540384,Immediate (0-3 months),Moderate,Moderate,Philanthropy,Short-term,Exclude Industry: Health Care REITs,Prefer ESG: Illinois Tool Works (ITW),Tax-deferred
5dd523967184,58,Single,2,Interactive Home Entertainment,19901,DE,True,576898,Immediate (0-3 months),Sophisticated,Conservative,Philanthropy,Long-term,Exclude Company: Charles River Laboratories (CRL) | Duke Energy (DUK),Prefer ESG in: Real Estate,Tax-deferred
e0a1119de746,77,Married,4,Multi-Family Residential REITs,19904,DE,True,214078,Medium-Term (1-5 years),Experienced,Conservative,Philanthropy,Short-term,Exclude Industry: Consumer Finance,Prefer ESG in: Industrial REITs,Tax-deferred
1c671fe0e940,67,Married,1,Consumer Finance,72201,AR,True,657625,Immediate (0-3 months),Experienced,Moderate,Philanthropy,Long-term,Exclude Company: Ford Motor Company (F),Prefer ESG: Targa Resources (TRGP),Taxable
198959733ab4,36,Married,1,Industrial Machinery & Supplies & Components,77003,TX,True,622867,Medium-Term (1-5 years),Sophisticated,Aggressive,Philanthropy,Short-term,Exclude Sector: Consumer Staples,Prefer ESG in: Paper & Plastic Packaging Products & Materials,Tax-deferred
3d6a9490c38a,79,Married,0,Consumer Electronics,71602,AR,False,409127,Long-Term (5+ years),Experienced,Conservative,Income,Long-term,Exclude Industry: Investment Banking & Brokerage,Prefer ESG in: Fertilizers & Agricultural Chemicals,Taxable
af74498562d3,63,Single,1,Data Center REITs,88002,NM,True,156357,Long-Term (5+ years),Moderate,Moderate,Philanthropy,Long-term,Exclude Industry: Gold,Prefer ESG in: Regional Banks,Taxable
ca0a93c5a2f3,67,Married,4,Industrial Conglomerates,78701,TX,True,733796,Short-Term (3-12 months),Experienced,Moderate,Education,Long-term,Exclude Sector: Utilities,No specific preference,Tax-deferred
db810c2d2e0f,74,Single,0,Brewers,85004,AZ,True,962789,Immediate (0-3 months),Moderate,Moderate,Retirement,Long-term,Exclude Company: BXP  Inc. (BXP),Prefer ESG: BXP  Inc. (BXP),Tax-deferred
2598ffc0d61e,33,Single,1,Publishing,57104,SD,True,231959,Medium-Term (1-5 years),Moderate,Moderate,Retirement,Long-term,Exclude Sector: Health Care,Prefer ESG in: Consumer Staples,Tax-deferred
19c11314ba80,31,Single,1,Distributors,89701,NV,False,151482,Immediate (0-3 months),Experienced,Aggressive,Education,Medium-term,Exclude Sector: Real Estate,Prefer ESG in: Cable & Satellite,Taxable
690e9643aeba,63,Married,4,Oil & Gas Storage & Transportation,06101,CT,True,1954009,Long-Term (5+ years),Limited,Conservative,Philanthropy,Long-term,None,Prefer ESG: American Express (AXP),Taxable
bc2f2dab5073,27,Married,0,Air Freight & Logistics,84602,UT,True,180831,Medium-Term (1-5 years),Professional,Moderate,Income,Long-term,Exclude Industry: Cargo Ground Transportation,Prefer ESG: Waters Corporation (WAT),Taxable
372463db0425,70,Married,4,Copper,59102,MT,False,206621,Immediate (0-3 months),Professional,Conservative,Education,Short-term,Exclude Company: Fox Corporation (Class A) (FOXA) | Workday  Inc. (WDAY) | General Motors (GM),Prefer ESG in: Utilities,Tax-deferred
bfb50abfa349,46,Single,1,Timber REITs,25305,WV,True,742096,Long-Term (5+ years),None,Conservative,Retirement,Long-term,Exclude Industry: Health Care Facilities,Prefer ESG in: Office REITs,Tax-deferred
481f98b1ea0b,39,Single,4,Broadline Retail,68103,NE,True,200760,Immediate (0-3 months),Experienced,Moderate,Education,Long-term,Exclude Industry: Other Specialized REITs,Prefer ESG in: Information Technology,Tax-deferred
75d16f82badd,27,Married,2,Rail Transportation,19904,DE,True,491990,Medium-Term (1-5 years),Moderate,Aggressive,Philanthropy,Short-term,Exclude Company: General Motors (GM) | Occidental Petroleum (OXY) | Illinois Tool Works (ITW),Prefer ESG in: Brewers,Taxable
d671f32dd738,26,Married,0,Pharmaceuticals,07103,NJ,True,1678984,Immediate (0-3 months),Limited,Aggressive,Retirement,Short-term,Exclude Sector: Utilities,Prefer ESG in: Trading Companies & Distributors,Taxable
2e6c5d4de63b,31,Married,3,Computer & Electronics Retail,07105,NJ,True,1739688,Medium-Term (1-5 years),Sophisticated,Moderate,Income,Long-term,None,Prefer ESG in: Energy,Tax-deferred
d3ccabaccb75,23,Single,2,Electronic Equipment & Instruments,99501,AK,True,310202,Medium-Term (1-5 years),Moderate,Moderate,Philanthropy,Long-term,Exclude Industry: Investment Banking & Brokerage,Prefer ESG in: Information Technology,Taxable
9f582e471e82,35,Married,2,Apparel Retail,26501,WV,False,128184,Long-Term (5+ years),None,Conservative,Philanthropy,Medium-term,Exclude Company: Uber (UBER) | CF Industries (CF),Prefer ESG in: Restaurants,Tax-deferred
51099ed13cc2,53,Married,3,Aerospace & Defense,96804,HI,False,166044,Short-Term (3-12 months),Experienced,Aggressive,Education,Short-term,Exclude Industry: Paper & Plastic Packaging Products & Materials,Prefer ESG in: Communication Services,Taxable
8225d0057b11,27,Married,0,Interactive Media & Services,59104,MT,False,224538,Medium-Term (1-5 years),Experienced,Moderate,Income,Short-term,Exclude Company: Take Two Interactive (TTWO) | Workday  Inc. (WDAY),Prefer ESG in: IT Consulting & Other Services,Tax-deferred
330d584b9407,35,Single,2,Drug Retail,84601,UT,True,227786,Medium-Term (1-5 years),Professional,Conservative,Retirement,Medium-term,None,Prefer ESG: Molina Healthcare (MOH),Tax-deferred
89b9c7979ff6,22,Single,2,Aerospace & Defense,84104,UT,True,1099397,Long-Term (5+ years),Sophisticated,Aggressive,Education,Long-term,Exclude Company: Amcor (AMCR),No specific preference,Tax-deferred
e7d5880306a4,37,Married,3,Semiconductors,70116,LA,True,781957,Immediate (0-3 months),Sophisticated,Aggressive,Income,Long-term,Exclude Sector: Communication Services,Prefer ESG in: Biotechnology,Tax-deferred
541835747815,62,Married,4,Health Care Supplies,21204,MD,True,1342686,Short-Term (3-12 months),Experienced,Moderate,Retirement,Medium-term,None,Prefer ESG: CF Industries (CF),Taxable
be677a94be83,40,Married,1,Pharmaceuticals,04102,ME,True,792058,Short-Term (3-12 months),Professional,Conservative,Retirement,Long-term,Exclude Sector: Consumer Staples,Prefer ESG: Verisign (VRSN),Tax-deferred
e6805a34764e,47,Married,2,Electronic Components,37204,TN,False,132045,Immediate (0-3 months),Sophisticated,Conservative,Education,Long-term,Exclude Industry: Interactive Home Entertainment,Prefer ESG in: Oil & Gas Storage & Transportation,Tax-deferred
df086f61d196,51,Single,4,Real Estate Services,89701,NV,True,1415382,Long-Term (5+ years),Sophisticated,Moderate,Philanthropy,Medium-term,Exclude Company: Apple Inc. (AAPL) | Invesco (IVZ) | Uber (UBER),No specific preference,Taxable
ba9965c08499,27,Single,1,"Technology Hardware, Storage & Peripherals",40202,KY,True,1107338,Medium-Term (1-5 years),Moderate,Moderate,Retirement,Long-term,Exclude Company: Ecolab (ECL) | CF Industries (CF) | Alphabet Inc. (Class A) (GOOGL),Prefer ESG in: Consumer Discretionary,Taxable
0e1980358312,70,Married,3,Human Resource & Employment Services,03054,NH,True,168813,Long-Term (5+ years),Experienced,Aggressive,Philanthropy,Medium-term,Exclude Industry: Specialized Consumer Services,Prefer ESG in: Rail Transportation,Taxable
05a28ddbd3f7,75,Married,2,"Technology Hardware, Storage & Peripherals",19105,PA,True,746685,Medium-Term (1-5 years),Moderate,Conservative,Retirement,Medium-term,Exclude Industry: Gold,Prefer ESG: Seagate Technology (STX),Taxable
d9ae082fab6f,46,Married,4,Brewers,60607,IL,True,1362684,Immediate (0-3 months),None,Aggressive,Retirement,Medium-term,None,Prefer ESG in: Energy,Tax-deferred
e56bec8dcebc,36,Single,3,Advertising,94101,CA,True,1068999,Long-Term (5+ years),Limited,Moderate,Income,Medium-term,Exclude Industry: Rail Transportation,Prefer ESG in: Materials,Taxable
9fe1b2633ef2,50,Single,0,Human Resource & Employment Services,60606,IL,True,254899,Immediate (0-3 months),Professional,Conservative,Retirement,Short-term,Exclude Industry: Single-Family Residential REITs,Prefer ESG in: Industrials,Tax-deferred
48e9b9b98899,73,Married,4,Data Center REITs,03060,NH,True,949036,Short-Term (3-12 months),Moderate,Conservative,Philanthropy,Long-term,Exclude Company: Tesla  Inc. (TSLA),No specific preference,Tax-deferred
33f6afd37c3e,38,Single,0,Computer & Electronics Retail,40205,KY,True,184773,Immediate (0-3 months),Limited,Aggressive,Education,Medium-term,Exclude Sector: Materials,Prefer ESG in: Semiconductor Materials & Equipment,Tax-deferred
40d024f88708,39,Single,3,Restaurants,31401,GA,True,228810,Medium-Term (1-5 years),Experienced,Moderate,Income,Medium-term,Exclude Industry: Packaged Foods & Meats,Prefer ESG in: Energy,Tax-deferred
76b49dc43de4,44,Single,4,Consumer Electronics,02104,MA,True,293092,Short-Term (3-12 months),Professional,Conservative,Retirement,Medium-term,None,Prefer ESG in: Communication Services,Taxable
ed9e098c374d,45,Single,1,Diversified Banks,70114,LA,True,758425,Short-Term (3-12 months),None,Moderate,Philanthropy,Medium-term,None,Prefer ESG: Alliant Energy (LNT),Taxable
c8c3dc087766,70,Married,4,Independent Power Producers & Energy Traders,59103,MT,True,669299,Short-Term (3-12 months),Experienced,Conservative,Philanthropy,Long-term,"Exclude Industry: Metal, Glass & Plastic Containers",No specific preference,Taxable
a4e48ddfda61,23,Single,1,Financial Exchanges & Data,53202,WI,True,1011905,Immediate (0-3 months),Experienced,Conservative,Retirement,Long-term,Exclude Company: Alliant Energy (LNT) | Paramount Global (PARA),No specific preference,Tax-deferred
